12300 elements of T-matrix
s sp m mp n np Tr Ti 
1 1 0 0 25 19 -3.98721732825941e-19 8.19428485181518e-17
1 1 0 0 25 21 -2.15377007190383e-20 5.08028916831395e-18
1 1 0 0 25 23 -9.54365476539509e-22 2.56549640516083e-19
1 1 0 0 25 25 -2.7960706654339e-23 1.13268315840352e-20
1 1 0 0 2 2 -0.00939802443945436 0.0668736620938508
1 1 0 0 2 4 -0.00435364376929972 0.0257653980357958
1 1 0 0 2 6 -0.000873001577659968 0.00296405848640293
1 1 0 0 2 8 -7.15620607101431e-05 -0.000400660387183102
1 1 0 0 2 10 4.43622752770438e-06 -0.000182537639381475
1 1 0 0 2 12 1.95102867493154e-06 -3.03839741915776e-05
1 1 0 0 2 14 2.75455922777436e-07 -3.19782790203944e-06
1 1 0 0 2 16 2.51929017511274e-08 -2.41642698203843e-07
1 1 0 0 2 18 1.71050170102112e-09 -1.38747086295614e-08
1 1 0 0 2 20 9.14839862073701e-11 -6.23806636599033e-10
1 1 0 0 2 22 3.9910604816338e-12 -2.22747523530447e-11
1 1 0 0 2 24 1.45454646443444e-13 -6.30392722423912e-13
1 1 0 0 4 2 -0.00435364274812135 0.0257653919611103
1 1 0 0 4 4 -0.0044143121312951 0.0360202683595561
1 1 0 0 4 6 -0.00189453635879755 0.0164259683737559
1 1 0 0 4 8 -0.000457477083850997 0.00383357044349426
1 1 0 0 4 10 -7.11309431038449e-05 0.000533008273938538
1 1 0 0 4 12 -7.67606166893345e-06 4.55914687747665e-05
1 1 0 0 4 14 -5.99830705325703e-07 2.03545869597996e-06
1 1 0 0 4 16 -3.45079507359447e-08 -3.39308256906957e-08
1 1 0 0 4 18 -1.43556745743849e-09 -1.38845185356486e-08
1 1 0 0 4 20 -3.83331177225935e-11 -1.30359615952143e-09
1 1 0 0 4 22 -1.87259361592995e-13 -8.08306114287174e-11
1 1 0 0 4 24 4.45254762909365e-14 -3.83698418542629e-12
1 1 0 0 6 2 -0.000873002788105958 0.00296405985585061
1 1 0 0 6 4 -0.00189453856320151 0.0164259715971084
1 1 0 0 6 6 -0.00133594941125474 0.0144630684196439
1 1 0 0 6 8 -0.000477147293047949 0.00572203502095345
1 1 0 0 6 10 -0.000104922906397875 0.00133472904633756
1 1 0 0 6 12 -1.58085312731121e-05 0.000208926516522086
1 1 0 0 6 14 -1.74526690444006e-06 2.36858711306276e-05
1 1 0 0 6 16 -1.47858851970887e-07 2.04567111379086e-06
1 1 0 0 6 18 -9.94105185038119e-09 1.39554716661677e-07
1 1 0 0 6 20 -5.4437333805347e-10 7.72762476213598e-09
1 1 0 0 6 22 -2.47760078705284e-11 3.54800193199008e-10
1 1 0 0 6 24 -9.52853966130772e-13 1.37410490975109e-11
1 1 0 0 8 2 -7.1562327935861e-05 -0.000400660654692498
1 1 0 0 8 4 -0.000457476606389512 0.00383357466835215
1 1 0 0 8 6 -0.000477146454438358 0.00572203764138323
1 1 0 0 8 8 -0.000219456582117766 0.00302718870197831
1 1 0 0 8 10 -5.82101298187187e-05 0.000865789595754526
1 1 0 0 8 12 -1.01700811921488e-05 0.000158567665078915
1 1 0 0 8 14 -1.26762088461417e-06 2.04160892771477e-05
1 1 0 0 8 16 -1.18955058869398e-07 1.96144832745997e-06
1 1 0 0 8 18 -8.72999371086101e-09 1.46561090312246e-07
1 1 0 0 8 20 -5.15782164040037e-10 8.78350612397669e-09
